domain,problem,planner,success,time_s,plan_len
blocksworld,p001.pddl,MCTS,True,4.3262,6
blocksworld,p001.pddl,A*,True,3.0823,6
blocksworld,p002.pddl,MCTS,True,4.4281,10
blocksworld,p002.pddl,A*,True,2.7738,10
blocksworld,p003.pddl,MCTS,True,3.6027,6
blocksworld,p003.pddl,A*,True,4.1206,6
blocksworld,p004.pddl,MCTS,True,5.6084,14
blocksworld,p004.pddl,A*,True,2.9299,12
blocksworld,p005.pddl,MCTS,True,5.4988,14
blocksworld,p005.pddl,A*,True,2.9496,10
blocksworld,p006.pddl,MCTS,True,6.2926,20
blocksworld,p006.pddl,A*,True,2.6598,16
blocksworld,p007.pddl,MCTS,True,10.2856,42
blocksworld,p007.pddl,A*,True,2.2562,12
blocksworld,p008.pddl,MCTS,True,19.4311,92
blocksworld,p008.pddl,A*,True,2.6237,10
blocksworld,p009.pddl,MCTS,True,17.4713,100
blocksworld,p009.pddl,A*,True,2.5559,22
blocksworld,p010.pddl,MCTS,False,58.8518,0
blocksworld,p010.pddl,A*,True,2.5766,22
depots,p01.pddl,MCTS,True,9.3329,15
depots,p01.pddl,A*,True,2.3427,10
depots,p02.pddl,MCTS,True,55.3425,33
depots,p02.pddl,A*,True,2.9595,15
depots,p03.pddl,MCTS,False,300.0357,0
depots,p03.pddl,A*,True,4.2039,30
depots,p04.pddl,MCTS,False,300.0556,0
depots,p04.pddl,A*,True,33.3551,30
depots,p05.pddl,MCTS,False,300.0522,0
depots,p05.pddl,A*,True,259.6904,47
depots,p06.pddl,MCTS,False,300.0593,0
depots,p06.pddl,A*,False,300.0492,0
depots,p07.pddl,MCTS,False,300.0445,0
depots,p07.pddl,A*,True,5.8279,21
depots,p08.pddl,MCTS,False,300.0580,0
depots,p08.pddl,A*,True,158.5293,36
depots,p09.pddl,MCTS,False,300.0542,0
depots,p09.pddl,A*,False,300.0484,0
depots,p10.pddl,MCTS,False,500.8108,0
depots,p10.pddl,A*,True,57.9448,26
gripper,p01.pddl,MCTS,True,8.4354,9
gripper,p01.pddl,A*,True,64.2192,9
gripper,p02.pddl,MCTS,True,117.3940,13
gripper,p02.pddl,A*,True,300.8316,13
gripper,p03.pddl,MCTS,True,41.1079,19
gripper,p03.pddl,A*,False,300.1820,0
gripper,p04.pddl,MCTS,True,55.1064,22
gripper,p04.pddl,A*,False,300.1491,0
gripper,p05.pddl,MCTS,True,120.9014,28
gripper,p05.pddl,A*,False,300.1588,0
gripper,p06.pddl,MCTS,False,300.0808,0
gripper,p06.pddl,A*,False,300.0651,0
gripper,p07.pddl,MCTS,False,300.0205,0
gripper,p07.pddl,A*,False,300.1380,0
gripper,p08.pddl,MCTS,False,300.0255,0
gripper,p08.pddl,A*,False,300.0966,0
gripper,p09.pddl,MCTS,False,300.0274,0
gripper,p09.pddl,A*,False,300.0735,0
gripper,p10.pddl,MCTS,False,300.0241,0
gripper,p10.pddl,A*,False,300.0659,0
logistics,p01.pddl,MCTS,False,300.0364,0
logistics,p01.pddl,A*,False,300.0444,0
logistics,p02.pddl,MCTS,False,300.0591,0
logistics,p02.pddl,A*,False,300.0383,0
logistics,p03.pddl,MCTS,False,300.0633,0
logistics,p03.pddl,A*,False,300.0505,0
logistics,p04.pddl,MCTS,False,300.0726,0
logistics,p04.pddl,A*,False,300.0610,0
logistics,p05.pddl,MCTS,False,300.0771,0
logistics,p05.pddl,A*,False,300.0524,0
logistics,p06.pddl,MCTS,False,300.1167,0
logistics,p06.pddl,A*,False,300.1211,0
logistics,p07.pddl,MCTS,False,300.0478,0
logistics,p07.pddl,A*,False,300.0375,0
logistics,p08.pddl,MCTS,False,300.1607,0
logistics,p08.pddl,A*,False,300.1481,0
logistics,p09.pddl,MCTS,False,300.0770,0
logistics,p09.pddl,A*,False,300.0879,0
logistics,p10.pddl,MCTS,False,300.0659,0
logistics,p10.pddl,A*,False,300.0671,0
